Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,875,875,875,20 Apr 2018
2,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,971,971,971,09 Mar 2021
3,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1000,1000,1000,28 Feb 2018
4,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1000,1000,1000,31 Aug 2018
5,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1000,1111,1050,04 Dec 2017
6,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1000,1250,1120,27 May 2018
7,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1001,1001,1001,23 Dec 2020
8,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1010,1010,1010,30 Jan 2018
9,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1010,1071,1045,31 Jan 2018
10,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1015,1015,1015,01 Feb 2018
11,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1020,1020,1020,29 Jan 2018
12,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1021,1021,1021,12 Jan 2018
13,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1025,1025,1025,07 Aug 2018
14,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1031,1270,1080,05 Dec 2017
15,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1040,1041,1040,10 Jan 2018
16,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1040,1350,1230,05 Jan 2018
17,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1050,1050,1050,04 Jan 2018
18,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1051,1051,1051,08 Dec 2017
19,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1051,1051,1051,09 Jan 2018
20,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1051,1061,1055,01 Jan 2018
21,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1061,1061,1061,11 Dec 2017
22,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1061,1061,1061,26 Dec 2017
23,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1061,1061,1061,27 Dec 2017
24,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1070,1300,1220,15 Dec 2017
25,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1075,1200,1140,22 Jan 2018
26,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1080,1080,1080,06 Dec 2017
27,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1090,1591,1260,24 Nov 2017
28,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1100,1100,1100,10 Dec 2017
29,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1100,1100,1100,14 Oct 2021
30,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1100,1111,1107,17 Nov 2017
31,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1100,1169,1145,01 Nov 2017
32,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1100,1200,1150,20 Nov 2017
33,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1101,1161,1141,10 Nov 2017
34,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1111,1111,1111,27 Nov 2017
35,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1111,1111,1111,27 Oct 2017
36,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1115,1115,1115,09 Nov 2017
37,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1120,1120,1120,02 Nov 2017
38,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1120,1204,1160,15 Nov 2016
39,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1125,1140,1131,23 Nov 2017
40,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1125,1155,1136,16 Nov 2017
41,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1128,1128,1128,07 Nov 2017
42,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1129,1151,1135,14 Nov 2017
43,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1131,1340,1235,25 Oct 2016
44,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1135,1151,1145,15 Oct 2017
45,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1140,1140,1140,08 Oct 2017
46,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1141,1159,1151,24 Oct 2017
47,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1150,1150,1150,21 Oct 2021
48,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1150,1151,1151,23 Oct 2017
49,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1160,1166,1164,17 Oct 2017
50,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1160,1186,1172,17 Nov 2016
51,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1160,1200,1180,28 Oct 2016
52,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1161,1550,1320,25 Nov 2016
53,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1174,1174,1174,20 Nov 2016
54,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1179,1179,1179,21 Nov 2016
55,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1180,1181,1180,23 Nov 2016
56,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1180,1300,1250,05 Dec 2016
57,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1181,1271,1240,10 Oct 2017
58,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1191,1200,1195,29 Nov 2016
59,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1200,1275,1245,17 Dec 2017
60,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1210,1230,1220,27 Oct 2016
61,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1225,1225,1225,12 Sep 2017
62,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1230,1400,1350,05 Apr 2017
63,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1240,1250,1245,28 Nov 2016
64,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1240,1300,1260,14 Dec 2016
65,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1246,1246,1246,11 Dec 2016
66,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1251,1251,1251,15 Apr 2019
67,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1253,1290,1275,06 Dec 2016
68,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1264,1264,1264,04 Jan 2017
69,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1270,1733,1540,02 May 2017
70,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1271,1379,1330,13 Jan 2017
71,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1271,1521,1440,14 Feb 2017
72,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1275,1275,1275,31 Jan 2017
73,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1281,1460,1330,19 Jan 2017
74,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1300,1300,05 Nov 2018
75,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1300,1300,15 Jun 2017
76,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1300,1300,17 Feb 2017
77,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1300,1300,18 Nov 2021
78,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1300,1300,31 Jul 2020
79,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1550,1400,05 Feb 2017
80,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1300,1700,1500,17 Apr 2017
81,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1301,1301,1301,03 Aug 2021
82,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1301,1301,1301,31 May 2017
83,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1311,1781,1540,27 Apr 2017
84,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1321,1360,1340,25 Sep 2017
85,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1325,1325,1325,04 Sep 2017
86,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1325,1350,1335,13 Jun 2017
87,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1325,1450,1375,27 Aug 2017
88,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1331,1331,1331,26 May 2017
89,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1338,1338,1338,18 Nov 2016
90,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1340,1450,1390,03 Aug 2017
91,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1350,1350,1350,28 Aug 2017
92,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1350,1411,1390,18 Aug 2017
93,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1351,1351,1351,18 Jul 2017
94,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1351,1518,1445,17 Jan 2017
95,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1385,1385,1385,03 Feb 2017
96,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1386,1500,1430,10 Aug 2017
97,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1390,1801,1650,12 May 2017
98,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1400,1400,1400,13 Aug 2017
99,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1400,1400,1400,18 May 2017
100,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1409,1409,1409,13 Feb 2017
101,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1410,1700,1630,31 Jul 2017
102,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1411,1411,1411,29 Aug 2017
103,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1426,1426,1426,21 Feb 2017
104,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1500,1500,1500,02 Jan 2017
105,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1500,1500,1500,03 May 2017
106,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1500,1741,1630,31 Dec 2019
107,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1531,1531,1531,10 Jul 2017
108,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1551,1551,1551,01 Feb 2017
109,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1591,1591,1591,22 Dec 2016
110,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1700,1700,1700,17 Dec 2019
111,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1750,1750,1750,19 Jul 2017
112,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1750,1750,1750,25 Feb 2019
113,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,1851,1851,1851,25 Feb 2022
114,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,2000,2091,2050,24 Apr 2022
115,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,2590,2590,2590,02 May 2024
116,Nagpur,Katol,Jowar(Sorghum),Other,FAQ,2900,2900,2900,13 Jun 2023
117,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1000,2500,2125,15 Jan 2018
118,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1200,1500,1425,29 Aug 2020
119,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1200,1500,1425,31 Aug 2020
120,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1300,1500,1450,22 Jul 2020
121,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,1800,1721,02 Aug 2017
122,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,1800,1725,01 Aug 2017
123,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,1800,1725,05 Dec 2016
124,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,1800,1725,26 Nov 2016
125,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,12 Jun 2017
126,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,14 Dec 2016
127,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,15 Jul 2017
128,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,24 Nov 2016
129,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,29 Aug 2017
130,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2000,1875,30 Aug 2017
131,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1500,2200,2025,23 Jun 2017
132,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,02 Feb 2018
133,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,05 Feb 2018
134,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,06 Feb 2018
135,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,07 Oct 2017
136,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,19 Jan 2018
137,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,21 Aug 2017
138,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,24 Aug 2017
139,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,24 Dec 2019
140,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,25 Dec 2017
141,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2000,1900,27 Jan 2020
142,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2100,1975,01 Mar 2017
143,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2200,2050,14 Jan 2017
144,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2200,2050,26 Aug 2017
145,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1600,2400,2200,19 May 2017
146,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2200,2062,09 Mar 2017
147,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2200,2075,11 Mar 2017
148,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2200,2100,02 Mar 2017
149,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2200,2100,03 Mar 2017
150,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2200,2100,04 Mar 2017
151,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2200,2125,07 Jul 2017
152,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1650,2400,2212,23 Mar 2017
153,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2000,1900,27 Jan 2018
154,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2000,1925,10 Feb 2018
155,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2000,1925,17 Feb 2018
156,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2000,1925,19 Feb 2018
157,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2000,1925,21 Aug 2018
158,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2200,2075,22 Feb 2018
159,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2200,2075,25 Jan 2018
160,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2200,2075,26 Feb 2018
161,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,05 May 2017
162,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,07 Apr 2017
163,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,10 Apr 2017
164,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,13 Apr 2017
165,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,18 May 2017
166,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,20 Apr 2017
167,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,24 Mar 2017
168,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,25 Mar 2017
169,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2400,2225,29 Apr 2017
170,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1700,2600,2375,12 May 2017
171,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,03 Dec 2018
172,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,03 Oct 2018
173,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,09 Mar 2018
174,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,10 Mar 2018
175,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,17 Aug 2018
176,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,21 Apr 2018
177,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2000,1950,26 Sep 2018
178,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,1900,21 Mar 2018
179,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,01 Mar 2018
180,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,03 Apr 2018
181,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,03 Aug 2018
182,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,03 Jan 2019
183,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,04 Apr 2018
184,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,05 Apr 2018
185,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,06 Apr 2018
186,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,06 Mar 2018
187,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,07 Apr 2018
188,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,07 Mar 2018
189,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,08 Mar 2018
190,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,10 Apr 2018
191,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,10 Jan 2019
192,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,11 Apr 2018
193,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,12 Apr 2018
194,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,13 Apr 2018
195,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,13 Mar 2018
196,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,17 Oct 2018
197,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,19 Apr 2018
198,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,20 Apr 2018
199,Nagpur,Nagpur,Jowar(Sorghum),Other,FAQ,1800,2200,2100,22 Mar 2018
